age,marital,education,default,housing,loan,contact,duration,campaign,previous,poutcome,subscription
47,married,primary,no,yes,no,telephone,66,1,1,other,0
35,single,tertiary,no,yes,no,cellular,135,22,0,unknown,0
42,single,tertiary,no,no,no,cellular,99,1,0,unknown,0
47,married,secondary,no,no,no,unknown,761,2,0,unknown,1
59,married,secondary,no,no,no,cellular,464,1,0,unknown,0
38,married,secondary,no,yes,no,unknown,20,2,0,unknown,0
50,married,secondary,no,no,no,cellular,206,4,0,unknown,0
27,single,secondary,no,no,no,cellular,283,2,0,unknown,0
55,married,primary,no,no,no,unknown,64,1,0,unknown,0
39,single,secondary,no,yes,no,cellular,667,3,3,other,1
31,single,tertiary,no,no,no,cellular,73,3,0,unknown,0
37,married,tertiary,no,yes,no,unknown,156,2,0,unknown,0
28,single,secondary,yes,yes,no,unknown,559,7,0,unknown,0
42,married,secondary,no,no,no,cellular,143,2,0,unknown,0
40,divorced,secondary,no,yes,no,unknown,62,1,0,unknown,0
59,single,secondary,no,yes,yes,cellular,219,2,5,failure,0
40,single,secondary,no,yes,no,cellular,15,3,0,unknown,0
43,married,secondary,no,yes,no,cellular,567,1,0,unknown,0
38,single,secondary,no,yes,no,cellular,188,2,0,unknown,0
54,married,primary,no,yes,no,cellular,159,2,0,unknown,0
41,married,secondary,no,yes,no,telephone,121,2,0,unknown,0
55,divorced,primary,no,no,no,cellular,345,1,3,other,1
33,married,tertiary,no,no,no,unknown,717,1,0,unknown,0
46,married,secondary,no,no,no,cellular,71,3,0,unknown,0
36,married,secondary,no,no,no,cellular,144,2,0,unknown,0
48,divorced,tertiary,no,no,yes,cellular,38,1,0,unknown,0
42,married,secondary,no,yes,no,cellular,60,2,0,unknown,0
46,divorced,tertiary,no,no,no,cellular,336,2,2,success,1
49,married,secondary,yes,yes,yes,unknown,92,4,0,unknown,0
36,married,secondary,no,no,no,cellular,254,2,1,failure,0
34,single,tertiary,no,yes,yes,cellular,104,1,19,failure,0
51,divorced,tertiary,no,yes,yes,cellular,74,5,0,unknown,0
58,married,primary,no,no,no,cellular,156,2,0,unknown,0
48,married,tertiary,no,no,no,cellular,146,2,0,unknown,0
41,single,secondary,no,yes,no,unknown,882,1,0,unknown,1
49,married,primary,no,yes,no,unknown,84,4,0,unknown,0
43,married,primary,no,yes,no,unknown,114,2,0,unknown,0
32,single,secondary,no,no,yes,unknown,957,3,0,unknown,0
54,married,secondary,no,no,no,unknown,67,3,0,unknown,0
33,divorced,primary,no,yes,no,cellular,211,11,0,unknown,0
35,married,secondary,no,yes,no,cellular,299,2,0,unknown,0
56,married,secondary,no,yes,yes,cellular,102,6,1,failure,0
57,married,secondary,no,no,yes,unknown,225,1,0,unknown,0
31,single,primary,no,no,no,cellular,654,2,0,unknown,1
33,single,secondary,no,yes,no,cellular,234,2,0,unknown,0
29,single,tertiary,no,no,no,telephone,48,6,0,unknown,0
38,single,tertiary,no,yes,no,cellular,167,1,7,other,0
37,married,secondary,no,no,no,cellular,500,2,0,unknown,0
33,married,tertiary,no,no,no,cellular,22,2,0,unknown,0
30,single,tertiary,no,no,no,cellular,258,2,0,unknown,0
31,single,secondary,no,no,yes,cellular,177,1,0,unknown,0
28,single,tertiary,no,yes,yes,unknown,62,2,0,unknown,0
26,single,secondary,no,no,no,cellular,457,1,1,success,1
31,single,secondary,no,yes,no,telephone,460,2,2,failure,0
50,divorced,primary,no,yes,no,cellular,184,4,0,unknown,0
45,married,primary,no,yes,no,telephone,119,3,3,failure,0
48,married,primary,no,no,no,cellular,77,6,0,unknown,0
41,married,secondary,no,no,yes,cellular,107,1,0,unknown,0
60,married,primary,no,yes,no,unknown,1028,2,0,unknown,1
41,married,secondary,no,yes,no,unknown,87,1,0,unknown,0
43,married,primary,no,yes,no,unknown,315,4,0,unknown,0
36,married,tertiary,no,yes,yes,cellular,107,2,0,unknown,0
40,married,primary,no,no,yes,telephone,201,5,0,unknown,0
28,single,tertiary,no,no,yes,cellular,94,1,2,failure,0
27,single,tertiary,no,no,no,cellular,192,2,2,failure,1
49,single,secondary,no,yes,no,cellular,185,2,1,failure,0
37,married,tertiary,no,yes,no,cellular,77,1,0,unknown,0
31,married,secondary,no,yes,no,cellular,142,3,0,unknown,0
31,single,secondary,yes,no,no,cellular,381,1,0,unknown,0
31,married,secondary,no,yes,yes,cellular,222,2,0,unknown,0
35,married,primary,no,yes,no,cellular,106,1,0,unknown,0
51,divorced,unknown,no,yes,no,unknown,117,1,0,unknown,0
33,single,secondary,no,no,no,cellular,67,3,0,unknown,0
30,single,tertiary,no,yes,no,cellular,45,2,2,failure,0
58,single,secondary,no,no,yes,cellular,643,2,0,unknown,0
34,married,tertiary,no,yes,no,cellular,76,1,2,failure,0
45,married,tertiary,no,no,no,cellular,508,6,0,unknown,0
28,single,secondary,no,no,no,cellular,128,2,0,unknown,1
31,married,primary,no,yes,no,cellular,193,2,1,other,0
40,married,tertiary,no,no,no,unknown,172,6,0,unknown,0
30,single,secondary,no,no,no,cellular,142,2,0,unknown,0
34,married,secondary,no,yes,yes,unknown,492,2,0,unknown,0
40,married,secondary,no,no,yes,unknown,140,1,0,unknown,0
59,married,primary,no,no,no,unknown,140,2,0,unknown,0
43,single,tertiary,no,yes,no,unknown,257,2,0,unknown,0
41,married,tertiary,no,no,no,cellular,41,2,2,failure,0
33,divorced,secondary,no,no,no,cellular,91,2,0,unknown,0
33,married,secondary,no,yes,no,cellular,132,2,0,unknown,0
36,married,secondary,no,no,no,unknown,284,1,0,unknown,0
32,single,secondary,no,no,no,cellular,184,2,0,unknown,0
25,married,secondary,no,yes,no,cellular,225,1,0,unknown,0
25,married,secondary,no,yes,no,unknown,241,3,0,unknown,0
38,single,tertiary,no,no,no,cellular,79,3,0,unknown,0
34,married,tertiary,no,yes,no,cellular,156,1,0,unknown,0
67,married,secondary,no,no,no,cellular,223,2,0,unknown,0
32,married,secondary,no,yes,no,unknown,198,1,0,unknown,0
45,married,primary,no,no,no,cellular,536,2,0,unknown,0
33,married,primary,no,yes,no,unknown,304,2,0,unknown,0
38,married,primary,no,yes,no,cellular,196,2,2,failure,0
32,divorced,secondary,no,yes,no,unknown,298,2,0,unknown,0
54,divorced,tertiary,no,yes,yes,unknown,86,6,0,unknown,0
51,divorced,secondary,no,yes,no,unknown,186,1,0,unknown,0
42,married,primary,no,yes,no,cellular,167,3,0,unknown,0
41,married,secondary,no,yes,no,cellular,24,12,0,unknown,0
39,divorced,tertiary,no,no,yes,cellular,74,3,0,unknown,0
38,married,secondary,no,yes,no,unknown,601,1,0,unknown,0
39,married,secondary,no,yes,no,unknown,1168,2,0,unknown,0
46,married,primary,no,no,no,cellular,277,2,0,unknown,0
50,divorced,tertiary,no,no,yes,cellular,748,3,0,unknown,0
33,married,secondary,no,yes,no,unknown,364,1,0,unknown,0
37,married,secondary,no,yes,no,unknown,229,3,0,unknown,0
31,married,tertiary,no,no,no,cellular,43,13,0,unknown,0
34,divorced,unknown,no,no,no,cellular,177,1,0,unknown,1
34,married,tertiary,no,yes,no,cellular,262,1,2,success,1
36,married,tertiary,no,yes,no,cellular,317,1,2,failure,0
40,married,secondary,no,no,no,unknown,402,22,0,unknown,0
40,married,secondary,no,no,no,cellular,314,1,0,unknown,1
41,married,secondary,no,no,no,cellular,109,3,0,unknown,1
52,married,tertiary,no,no,no,cellular,56,6,0,unknown,0
40,single,secondary,no,yes,no,unknown,169,2,0,unknown,0
48,single,unknown,no,yes,no,cellular,127,1,0,unknown,0
33,divorced,secondary,no,no,no,cellular,175,3,0,unknown,0
44,divorced,secondary,no,no,no,cellular,56,2,0,unknown,0
55,married,tertiary,no,no,yes,cellular,123,1,0,unknown,0
51,married,secondary,no,no,no,telephone,148,2,0,unknown,0
34,single,tertiary,no,no,no,cellular,231,1,0,unknown,0
58,divorced,unknown,no,yes,no,cellular,255,1,0,unknown,0
39,single,tertiary,no,yes,no,cellular,37,3,0,unknown,0
27,single,secondary,no,no,no,cellular,106,1,2,other,0
55,divorced,unknown,no,yes,no,unknown,95,1,0,unknown,0
35,single,secondary,no,no,no,unknown,134,2,0,unknown,0
37,single,tertiary,no,yes,no,cellular,820,2,0,unknown,0
52,married,secondary,no,yes,yes,cellular,116,1,3,failure,0
41,married,secondary,no,yes,no,cellular,463,1,0,unknown,0
52,married,secondary,no,no,yes,cellular,603,3,0,unknown,0
34,single,secondary,no,yes,no,unknown,47,5,0,unknown,0
53,divorced,primary,no,no,no,cellular,126,1,0,unknown,0
33,single,tertiary,no,no,no,cellular,421,2,0,unknown,1
47,married,secondary,no,no,no,unknown,174,8,0,unknown,0
35,married,secondary,no,yes,yes,cellular,144,1,2,failure,0
33,single,tertiary,no,no,no,cellular,191,2,0,unknown,0
55,married,primary,no,no,no,telephone,222,1,0,unknown,0
58,married,primary,no,yes,no,cellular,206,1,1,failure,1
44,married,secondary,no,yes,no,cellular,74,1,0,unknown,0
25,single,secondary,no,yes,no,unknown,24,1,0,unknown,0
37,single,secondary,no,yes,no,cellular,7,11,1,failure,0
41,married,primary,no,yes,no,cellular,493,7,0,unknown,0
34,single,secondary,no,no,no,cellular,350,3,0,unknown,1
36,divorced,secondary,no,no,no,unknown,250,3,0,unknown,0
44,married,tertiary,no,no,no,cellular,86,4,0,unknown,0
34,divorced,tertiary,no,no,no,cellular,371,1,0,unknown,0
56,divorced,primary,no,no,no,unknown,419,2,0,unknown,0
43,divorced,tertiary,no,yes,no,unknown,2087,2,0,unknown,1
28,single,secondary,no,yes,no,cellular,22,4,0,unknown,0
54,married,secondary,no,yes,no,unknown,266,1,0,unknown,0
37,divorced,secondary,no,no,no,cellular,191,1,0,unknown,0
59,married,tertiary,no,no,no,cellular,222,4,2,success,1
58,divorced,secondary,no,no,yes,telephone,264,3,0,unknown,0
56,divorced,tertiary,no,yes,no,unknown,184,5,0,unknown,0
32,single,secondary,no,no,yes,cellular,95,3,0,unknown,0
42,single,tertiary,no,no,no,cellular,127,2,0,unknown,0
52,divorced,primary,no,no,no,cellular,395,4,0,unknown,0
46,married,tertiary,no,yes,no,cellular,174,1,0,unknown,0
37,married,tertiary,no,yes,no,cellular,124,1,0,unknown,1
39,married,primary,no,yes,no,unknown,102,2,0,unknown,0
31,married,secondary,no,yes,no,cellular,279,1,0,unknown,0
59,married,primary,no,no,no,cellular,76,11,0,unknown,0
38,married,secondary,no,yes,no,cellular,472,2,0,unknown,0
58,married,secondary,no,no,no,cellular,84,11,0,unknown,0
34,single,tertiary,no,yes,yes,cellular,271,1,1,failure,0
40,married,secondary,no,yes,no,unknown,754,1,0,unknown,0
20,single,secondary,no,no,no,telephone,172,5,5,failure,0
34,married,secondary,no,yes,yes,cellular,375,2,0,unknown,0
31,single,tertiary,no,yes,no,cellular,130,2,0,unknown,0
39,single,secondary,no,yes,no,unknown,303,3,0,unknown,0
34,married,tertiary,no,yes,no,unknown,261,1,0,unknown,0
24,married,secondary,no,yes,yes,cellular,229,3,0,unknown,0
41,married,tertiary,no,yes,no,cellular,288,1,0,unknown,0
40,married,tertiary,no,yes,no,cellular,219,3,0,unknown,0
45,single,secondary,no,yes,no,unknown,891,4,0,unknown,1
36,married,tertiary,no,yes,no,unknown,204,1,0,unknown,0
53,married,tertiary,no,no,no,unknown,19,6,0,unknown,0
23,single,secondary,no,no,no,cellular,158,2,0,unknown,0
42,married,primary,no,yes,no,unknown,314,1,0,unknown,0
48,married,secondary,no,yes,no,unknown,215,1,0,unknown,0
34,married,tertiary,no,no,no,cellular,169,4,0,unknown,0
36,married,secondary,no,yes,no,cellular,101,4,0,unknown,0
43,married,secondary,no,yes,no,unknown,15,13,0,unknown,0
36,married,secondary,no,yes,no,unknown,260,5,0,unknown,0
49,married,secondary,no,yes,no,cellular,558,1,0,unknown,1
55,married,secondary,no,no,no,unknown,287,4,0,unknown,0
53,married,secondary,no,yes,no,cellular,371,2,0,unknown,1
42,married,secondary,no,yes,no,cellular,149,1,5,failure,1
45,married,secondary,no,yes,yes,unknown,187,1,0,unknown,1
31,married,secondary,no,yes,no,unknown,32,1,0,unknown,0
32,married,tertiary,no,yes,no,unknown,138,1,0,unknown,0
36,married,secondary,no,yes,no,unknown,228,2,0,unknown,0
56,married,secondary,no,no,no,telephone,353,2,0,unknown,1
46,married,secondary,no,yes,no,unknown,45,2,0,unknown,0
41,single,secondary,no,no,no,cellular,76,2,0,unknown,0
31,married,secondary,no,yes,yes,unknown,144,2,0,unknown,0
32,married,secondary,no,yes,no,cellular,168,2,0,unknown,0
38,married,tertiary,no,yes,no,cellular,140,1,3,other,0
49,single,primary,no,no,no,unknown,94,1,0,unknown,0
46,single,primary,no,no,no,unknown,118,3,0,unknown,0
29,single,secondary,no,yes,no,cellular,382,1,0,unknown,0
36,married,unknown,no,no,no,cellular,111,1,0,unknown,0
38,married,secondary,no,yes,no,cellular,298,2,0,unknown,0
53,married,secondary,no,yes,no,unknown,121,1,0,unknown,0
43,married,tertiary,no,yes,no,unknown,317,7,0,unknown,0
41,married,tertiary,no,yes,yes,unknown,42,1,0,unknown,0
42,single,secondary,no,no,no,cellular,81,2,0,unknown,0
55,divorced,secondary,no,yes,no,cellular,296,1,3,failure,1
39,divorced,secondary,no,yes,yes,telephone,259,2,0,unknown,0
30,single,secondary,no,yes,no,cellular,121,6,3,other,0
41,married,secondary,no,yes,no,cellular,432,3,0,unknown,0
44,married,tertiary,no,no,no,cellular,126,2,0,unknown,0
58,married,tertiary,no,no,no,cellular,120,4,0,unknown,0
35,married,primary,no,yes,no,cellular,136,1,0,unknown,0
27,married,secondary,no,yes,no,cellular,1130,3,0,unknown,0
34,married,secondary,no,no,no,cellular,330,2,3,success,1
25,married,secondary,no,yes,no,cellular,305,2,0,unknown,0
36,married,secondary,no,no,no,unknown,332,3,0,unknown,0
38,married,secondary,no,yes,no,unknown,412,1,0,unknown,0
30,married,secondary,no,yes,no,cellular,157,1,0,unknown,0
47,divorced,secondary,yes,yes,no,cellular,71,2,0,unknown,0
41,divorced,secondary,no,yes,no,cellular,297,2,0,unknown,0
36,single,tertiary,no,no,no,cellular,307,1,0,unknown,0
63,married,secondary,no,no,no,telephone,250,2,2,success,1
23,single,tertiary,no,yes,no,cellular,119,1,0,unknown,0
32,married,tertiary,no,no,no,cellular,116,2,0,unknown,0
57,married,primary,no,no,no,telephone,274,1,0,unknown,0
48,married,tertiary,no,no,no,cellular,389,1,2,success,1
49,married,secondary,no,no,no,cellular,143,1,0,unknown,0
50,married,secondary,no,yes,yes,unknown,860,2,0,unknown,0
33,married,primary,no,yes,no,unknown,420,2,0,unknown,0
53,divorced,secondary,no,yes,no,unknown,213,1,0,unknown,0
30,married,tertiary,no,yes,no,cellular,756,1,0,unknown,0
38,married,secondary,no,no,no,cellular,259,3,0,unknown,0
44,married,secondary,no,yes,no,cellular,201,16,0,unknown,0
39,single,secondary,no,yes,yes,unknown,19,9,0,unknown,0
45,single,unknown,no,yes,yes,cellular,53,1,3,failure,0
36,married,secondary,no,yes,no,cellular,224,4,0,unknown,1
38,married,secondary,no,yes,no,cellular,57,5,1,other,0
36,married,secondary,no,yes,no,unknown,251,1,0,unknown,0
30,single,tertiary,no,yes,no,cellular,39,1,3,failure,0
28,divorced,tertiary,no,yes,yes,unknown,54,3,0,unknown,0
26,married,tertiary,no,yes,yes,unknown,28,18,0,unknown,0
54,married,secondary,no,no,no,cellular,104,1,2,other,1
38,married,tertiary,no,no,no,cellular,164,2,2,failure,1
32,single,tertiary,no,no,no,cellular,268,2,0,unknown,0
50,divorced,secondary,no,no,yes,cellular,148,1,0,unknown,0
43,married,secondary,no,yes,no,unknown,228,3,0,unknown,0
48,married,secondary,no,no,no,cellular,139,5,0,unknown,0
57,married,primary,no,no,no,cellular,89,3,0,unknown,0
64,married,primary,no,no,no,cellular,250,2,1,success,0
26,divorced,secondary,no,yes,no,unknown,106,6,0,unknown,0
33,married,secondary,no,yes,no,cellular,968,1,0,unknown,1
50,married,secondary,no,no,yes,cellular,168,3,0,unknown,0
47,married,tertiary,no,no,no,cellular,408,14,0,unknown,0
39,single,tertiary,no,no,no,cellular,56,4,0,unknown,0
52,married,primary,no,no,yes,cellular,55,5,0,unknown,0
31,single,primary,no,yes,no,unknown,76,4,0,unknown,0
50,married,primary,no,no,no,cellular,72,5,0,unknown,0
47,married,secondary,no,yes,no,cellular,99,3,0,unknown,0
30,single,tertiary,no,yes,no,cellular,13,15,0,unknown,0
32,single,tertiary,no,no,no,cellular,178,1,0,unknown,0
36,married,secondary,no,no,no,unknown,287,1,0,unknown,0
46,married,tertiary,no,yes,no,cellular,141,1,2,other,0
45,divorced,tertiary,no,no,no,cellular,127,1,2,failure,0
37,single,secondary,no,no,no,cellular,69,2,0,unknown,0
58,married,primary,no,yes,no,unknown,763,4,0,unknown,0
59,married,tertiary,no,no,no,cellular,122,1,1,failure,0
28,married,tertiary,no,yes,no,cellular,143,1,0,unknown,0
48,married,tertiary,no,yes,no,cellular,316,3,0,unknown,0
55,married,unknown,no,no,no,telephone,89,2,0,unknown,0
37,single,primary,no,yes,no,cellular,151,1,1,failure,0
41,married,tertiary,no,no,no,cellular,40,1,0,unknown,0
35,married,secondary,no,no,yes,unknown,5,1,12,failure,0
34,single,secondary,no,yes,no,cellular,90,1,0,unknown,0
43,single,tertiary,no,no,no,cellular,50,1,5,other,0
59,married,secondary,no,no,no,cellular,159,2,3,failure,1
50,divorced,primary,no,no,yes,cellular,369,6,0,unknown,0
37,married,secondary,no,no,no,cellular,344,2,8,other,1
35,married,secondary,no,yes,no,cellular,256,2,1,failure,0
50,single,secondary,no,no,no,cellular,298,1,0,unknown,0
36,divorced,secondary,no,no,yes,cellular,268,3,0,unknown,0
41,married,secondary,no,yes,no,cellular,231,1,0,unknown,0
28,married,tertiary,no,yes,no,unknown,4,4,0,unknown,0
42,single,tertiary,no,yes,no,cellular,78,5,3,failure,0
60,married,secondary,no,no,no,unknown,419,1,0,unknown,0
28,single,tertiary,no,yes,no,telephone,421,3,0,unknown,0
48,married,secondary,no,no,yes,cellular,105,1,0,unknown,0
51,married,tertiary,no,no,no,unknown,42,1,0,unknown,0
32,married,tertiary,no,no,no,cellular,114,7,3,failure,0
35,married,tertiary,no,no,no,cellular,286,2,0,unknown,0
37,married,unknown,no,no,no,cellular,238,1,2,success,1
38,divorced,secondary,no,yes,no,unknown,91,1,0,unknown,0
77,married,secondary,no,no,no,cellular,766,3,0,unknown,0
32,single,unknown,no,no,no,cellular,92,1,0,unknown,0
43,divorced,secondary,no,no,no,cellular,211,3,0,unknown,0
36,single,tertiary,no,yes,no,cellular,160,2,3,failure,0
29,married,tertiary,no,no,no,cellular,166,3,0,unknown,0
32,single,secondary,no,yes,no,cellular,195,1,0,unknown,0
41,divorced,tertiary,no,yes,yes,cellular,106,1,0,unknown,0
26,single,secondary,no,yes,yes,cellular,85,3,0,unknown,0
34,married,primary,no,no,no,cellular,78,1,0,unknown,0
57,married,tertiary,no,yes,yes,unknown,648,1,0,unknown,1
36,single,secondary,no,yes,no,cellular,177,2,1,other,0
42,married,secondary,no,yes,no,unknown,32,1,0,unknown,0
35,divorced,secondary,no,no,no,cellular,24,12,0,unknown,0
52,divorced,primary,no,yes,no,unknown,688,2,0,unknown,0
36,single,tertiary,no,yes,no,unknown,21,5,0,unknown,0
46,married,secondary,no,yes,no,unknown,112,1,0,unknown,0
60,divorced,tertiary,no,no,no,cellular,593,1,0,unknown,1
57,married,primary,no,yes,yes,cellular,59,2,0,unknown,0
48,married,tertiary,no,yes,no,cellular,121,3,0,unknown,0
59,married,primary,no,yes,no,telephone,97,2,0,unknown,0
39,married,tertiary,no,no,no,cellular,86,2,0,unknown,0
44,married,secondary,no,yes,yes,cellular,10,10,0,unknown,0
27,single,tertiary,no,no,no,cellular,205,3,0,unknown,0
59,married,secondary,no,no,no,unknown,77,2,0,unknown,0
36,divorced,secondary,no,yes,no,cellular,138,2,0,unknown,0
44,married,secondary,no,no,no,cellular,289,1,0,unknown,1
50,married,secondary,no,no,no,cellular,86,4,0,unknown,0
41,divorced,tertiary,no,yes,no,telephone,9,3,0,unknown,0
47,married,secondary,no,no,yes,cellular,225,1,1,failure,0
32,single,tertiary,no,no,no,cellular,407,4,0,unknown,0
38,married,secondary,no,yes,yes,unknown,1030,6,0,unknown,0
55,married,unknown,no,no,no,cellular,123,2,0,unknown,0
38,single,tertiary,no,no,no,cellular,119,4,0,unknown,0
31,single,tertiary,no,yes,no,cellular,175,1,5,failure,0
38,divorced,secondary,no,no,no,unknown,299,5,0,unknown,0
29,single,tertiary,no,no,no,cellular,563,1,0,unknown,0
55,married,secondary,no,yes,yes,unknown,241,1,0,unknown,0
35,married,secondary,no,yes,no,cellular,52,4,1,other,0
40,single,tertiary,no,no,no,cellular,76,3,0,unknown,0
34,married,secondary,no,yes,yes,cellular,441,1,0,unknown,0
32,single,tertiary,no,no,no,cellular,319,1,1,success,1
33,married,secondary,no,yes,no,unknown,13,1,6,success,0
33,married,tertiary,no,yes,no,unknown,803,1,0,unknown,1
37,married,secondary,no,no,no,cellular,396,2,0,unknown,0
58,married,tertiary,no,no,no,unknown,188,1,0,unknown,0
36,single,secondary,no,no,no,cellular,637,1,0,unknown,0
42,married,secondary,no,yes,no,unknown,175,7,0,unknown,0
34,single,secondary,no,yes,no,cellular,945,1,1,success,0
35,married,tertiary,no,yes,no,unknown,162,3,0,unknown,0
60,married,primary,no,no,no,unknown,1178,3,0,unknown,0
50,married,tertiary,no,yes,no,cellular,506,2,3,failure,0
28,single,tertiary,no,no,no,cellular,409,2,0,unknown,1
27,divorced,secondary,no,yes,no,cellular,116,3,0,unknown,0
37,married,tertiary,no,no,no,cellular,244,1,0,unknown,1
31,married,tertiary,no,yes,no,cellular,352,4,0,unknown,1
34,married,secondary,no,no,no,cellular,152,1,6,success,1
38,married,tertiary,no,yes,no,unknown,164,2,0,unknown,0
32,married,secondary,no,yes,no,unknown,234,3,0,unknown,0
37,married,secondary,no,no,no,cellular,154,4,0,unknown,0
33,married,secondary,no,yes,no,unknown,566,2,0,unknown,0
71,married,tertiary,no,no,no,cellular,327,2,3,success,0
27,married,secondary,no,yes,no,cellular,265,3,0,unknown,0
38,married,primary,no,no,no,unknown,172,1,0,unknown,0
34,single,secondary,no,no,no,cellular,257,2,0,unknown,0
54,divorced,tertiary,no,no,no,unknown,618,1,0,unknown,1
30,married,secondary,no,yes,no,cellular,241,3,0,unknown,0
35,single,secondary,no,no,yes,cellular,936,4,0,unknown,0
33,single,secondary,no,yes,no,cellular,329,1,1,failure,0
36,married,secondary,no,yes,no,cellular,24,1,1,failure,0
59,married,tertiary,no,no,no,cellular,177,5,1,failure,0
72,married,primary,no,no,no,telephone,120,1,0,unknown,0
64,married,tertiary,no,no,no,telephone,135,3,0,unknown,0
53,divorced,secondary,no,no,no,cellular,175,1,0,unknown,0
35,single,tertiary,no,yes,no,cellular,179,1,0,unknown,0
58,married,secondary,no,yes,no,unknown,58,1,0,unknown,0
40,married,secondary,no,no,no,cellular,342,2,0,unknown,0
41,divorced,secondary,no,yes,no,cellular,139,2,0,unknown,0
48,married,primary,no,yes,no,unknown,88,8,0,unknown,0
44,married,tertiary,no,yes,yes,cellular,210,3,0,unknown,0
39,married,unknown,no,no,no,cellular,731,1,3,failure,0
61,married,tertiary,no,no,no,cellular,670,3,0,unknown,1
36,married,primary,no,yes,no,unknown,63,5,0,unknown,0
28,married,tertiary,no,no,yes,cellular,70,2,0,unknown,0
58,single,secondary,no,no,yes,cellular,72,6,4,failure,0
60,divorced,secondary,no,yes,no,cellular,241,1,1,failure,0
66,single,secondary,no,no,no,cellular,272,4,0,unknown,0
36,single,tertiary,no,no,no,cellular,207,8,1,failure,1
49,married,secondary,no,yes,no,cellular,64,6,0,unknown,0
40,married,secondary,no,no,no,unknown,543,2,0,unknown,0
23,single,secondary,no,no,no,cellular,166,1,0,unknown,0
29,single,tertiary,no,no,no,cellular,245,3,7,success,0
44,married,primary,no,yes,yes,unknown,94,1,0,unknown,0
54,married,unknown,no,no,no,unknown,34,8,0,unknown,0
47,married,primary,no,no,no,telephone,203,2,0,unknown,0
33,married,tertiary,no,no,no,cellular,318,1,0,unknown,0
30,married,secondary,no,yes,no,cellular,158,4,0,unknown,0
27,single,secondary,no,no,yes,cellular,177,1,0,unknown,0
49,divorced,tertiary,no,yes,yes,unknown,56,1,2,other,0
27,single,secondary,no,yes,no,unknown,172,2,0,unknown,0
51,married,secondary,no,yes,no,cellular,136,1,1,failure,0
32,divorced,secondary,yes,yes,yes,cellular,82,3,2,other,0
30,single,secondary,no,yes,no,unknown,123,1,0,unknown,0
33,married,secondary,no,yes,no,cellular,110,1,0,unknown,0
27,single,primary,no,yes,no,unknown,385,5,0,unknown,0
75,divorced,secondary,no,no,no,cellular,415,7,0,unknown,1
37,divorced,secondary,no,yes,no,cellular,73,1,0,unknown,0
36,single,secondary,no,yes,no,unknown,243,2,0,unknown,0
37,married,secondary,no,yes,no,unknown,137,2,0,unknown,0
35,married,tertiary,no,yes,no,unknown,55,4,0,unknown,0
32,married,secondary,no,yes,yes,cellular,18,5,0,unknown,0
32,single,secondary,no,no,yes,cellular,255,2,0,unknown,0
35,married,primary,no,yes,no,cellular,95,1,0,unknown,0
31,married,primary,no,yes,yes,cellular,112,1,0,unknown,0
28,single,secondary,no,yes,yes,cellular,205,2,0,unknown,0
27,married,secondary,no,yes,no,cellular,97,1,1,failure,0
22,single,unknown,no,no,no,cellular,154,1,0,unknown,0
35,married,primary,no,yes,no,cellular,135,2,2,failure,0
69,married,primary,no,no,no,cellular,230,1,0,unknown,0
37,single,tertiary,no,yes,yes,cellular,349,1,0,unknown,0
45,single,secondary,no,yes,no,cellular,38,1,0,unknown,0
47,married,tertiary,no,yes,no,cellular,268,1,0,unknown,0
52,married,tertiary,no,yes,no,cellular,94,4,0,unknown,0
33,married,secondary,no,yes,no,cellular,263,2,0,unknown,0
60,married,primary,no,no,no,cellular,671,4,0,unknown,1
33,divorced,secondary,no,yes,yes,unknown,197,1,0,unknown,0
44,married,secondary,no,yes,no,cellular,180,2,0,unknown,0
38,married,secondary,no,no,no,cellular,452,2,0,unknown,0
54,married,secondary,no,yes,no,unknown,352,1,0,unknown,0
32,divorced,primary,no,no,no,cellular,175,4,0,unknown,0
33,married,secondary,no,yes,yes,cellular,163,2,0,unknown,0
55,divorced,secondary,no,yes,no,unknown,200,2,0,unknown,0
51,married,primary,no,no,yes,unknown,75,7,0,unknown,0
48,married,secondary,no,yes,no,cellular,227,1,0,unknown,0
37,single,secondary,no,yes,no,cellular,586,3,0,unknown,0
33,single,secondary,no,no,yes,cellular,119,5,0,unknown,0
30,married,primary,no,yes,yes,telephone,80,2,0,unknown,0
43,married,primary,no,yes,yes,cellular,112,2,3,other,0
49,married,secondary,no,yes,no,unknown,130,2,0,unknown,0
54,married,primary,no,yes,no,cellular,237,3,0,unknown,0
31,married,tertiary,no,no,no,cellular,377,8,0,unknown,0
54,married,unknown,no,no,no,cellular,335,1,0,unknown,1
36,married,secondary,no,yes,no,cellular,121,3,0,unknown,0
30,married,secondary,no,no,no,cellular,127,5,0,unknown,0
27,single,secondary,no,no,no,unknown,650,2,0,unknown,1
30,married,secondary,no,yes,no,unknown,107,1,0,unknown,0
30,married,secondary,no,yes,no,unknown,610,2,0,unknown,0
35,divorced,secondary,no,no,no,cellular,124,4,0,unknown,0
33,divorced,secondary,no,yes,no,unknown,216,1,0,unknown,0
43,divorced,primary,no,yes,yes,cellular,747,4,0,unknown,0
41,married,secondary,no,yes,no,cellular,313,1,3,other,0
41,divorced,tertiary,no,no,no,cellular,252,9,5,other,1
46,divorced,secondary,no,no,no,cellular,121,1,0,unknown,1
54,married,secondary,no,yes,no,unknown,799,1,0,unknown,0
