"account_length","international_plan","voice_mail_plan","number_vmail_messages","total_day_minutes","total_day_calls","total_night_minutes","total_night_calls","total_intl_minutes","total_intl_calls","total_intl_charge","number_customer_service_calls","churn"
108,"no","no",0,246.2,102,180.1,95,9.4,5,2.54,1,"no"
67,"no","no",0,179.8,125,272.8,97,10.9,4,2.94,0,"no"
189,"no","no",0,227.8,124,201.1,91,5.6,4,1.51,3,"no"
136,"no","no",0,252.4,74,248.3,110,10.7,3,2.89,2,"no"
176,"no","yes",23,283.2,130,177.7,104,7.2,6,1.94,1,"no"
61,"no","yes",28,239.9,110,166,46,12.1,4,3.27,1,"no"
86,"no","no",0,166.2,112,228.1,97,5.4,7,1.46,1,"no"
140,"no","no",0,191.8,67,252.7,112,10.8,3,2.92,6,"no"
132,"no","yes",36,201.9,93,131.3,92,13.7,5,3.7,0,"no"
117,"no","no",0,144.6,115,253.2,113,7.4,9,2,2,"no"
17,"no","no",0,180.4,121,199.5,99,14.8,5,4,0,"no"
103,"no","no",0,129.3,103,233,126,12.9,2,3.48,2,"no"
80,"yes","yes",30,184.2,132,212.8,114,10,10,2.7,0,"no"
101,"no","no",0,232.7,114,153.3,122,11.5,6,3.11,5,"no"
105,"no","no",0,251.6,88,184.4,112,5.4,5,1.46,1,"no"
54,"no","yes",24,92.3,88,99.3,119,11.6,3,3.13,2,"no"
88,"no","no",0,138.7,92,247.9,119,9.8,5,2.65,1,"no"
53,"no","yes",22,76.1,115,246.3,126,6,2,1.62,0,"no"
149,"no","no",0,156,56,163.3,104,8.9,8,2.4,0,"no"
112,"no","no",0,272.5,119,159.1,94,16.4,5,4.43,3,"yes"
152,"no","no",0,216.7,70,181.2,99,11.6,6,3.13,1,"no"
166,"no","no",0,274.3,110,246.1,119,10.9,5,2.94,0,"no"
96,"no","yes",33,183.3,115,177.4,84,10.4,15,2.81,3,"no"
95,"no","no",0,58.2,96,210.5,97,10.4,5,2.81,0,"no"
147,"yes","no",0,183.8,113,111,87,10.1,4,2.73,1,"no"
137,"yes","no",0,135.1,95,223.1,81,12.3,2,3.32,2,"yes"
154,"no","yes",14,183,113,181.1,112,10.2,3,2.75,1,"no"
88,"yes","no",0,132.9,132,260.5,42,14.4,11,3.89,2,"yes"
62,"no","no",0,248.7,109,265.7,78,13.2,2,3.56,1,"yes"
191,"no","no",0,162,104,210.4,83,10.9,7,2.94,1,"no"
71,"no","no",0,207,112,178.4,61,12.1,3,3.27,1,"no"
96,"no","no",0,182.6,75,137.7,81,9.5,3,2.57,5,"yes"
127,"no","no",0,102.8,128,191.4,97,10,5,2.7,1,"no"
31,"no","yes",28,210.5,101,241.6,125,11.5,2,3.11,1,"no"
136,"no","yes",24,50.1,134,111.8,115,11,6,2.97,0,"no"
85,"yes","no",0,216,73,147.1,98,3.6,7,0.97,2,"no"
157,"no","yes",27,201.4,85,258.5,113,11.9,5,3.21,2,"no"
90,"no","no",0,207.2,121,226.3,103,8,1,2.16,2,"no"
96,"no","yes",26,175.8,96,178,105,11.1,2,3,2,"no"
80,"yes","no",0,276.5,122,210.3,78,7.2,3,1.94,1,"yes"
119,"yes","yes",22,172.1,119,150,94,13.9,20,3.75,1,"yes"
104,"no","no",0,153.7,86,176.6,140,9.6,8,2.59,1,"no"
162,"no","no",0,220.6,117,186.7,89,10.5,11,2.84,1,"no"
94,"no","no",0,255.1,96,226.5,74,10.6,2,2.86,0,"yes"
66,"no","yes",29,229.4,104,231.5,119,8,1,2.16,2,"no"
69,"no","yes",31,194.9,63,153,129,13.2,2,3.56,2,"no"
59,"no","no",0,160.9,95,273.4,97,5,5,1.35,3,"no"
136,"no","yes",19,174,96,220.3,97,11.4,3,3.08,1,"no"
101,"yes","no",0,92.1,109,133.3,102,9.7,11,2.62,2,"no"
74,"no","yes",31,249.4,70,180.6,75,9.9,2,2.67,4,"no"
32,"no","yes",26,243.5,137,173.3,149,9,9,2.43,1,"no"
70,"no","no",0,214.8,87,216.9,104,9.4,3,2.54,3,"no"
65,"no","no",0,129.1,137,208.8,111,12.7,6,3.43,4,"yes"
131,"no","no",0,94.4,80,179.7,108,13.1,9,3.54,2,"no"
147,"no","no",0,274,92,283.6,83,6.2,1,1.67,0,"yes"
74,"no","no",0,230.9,93,157.8,101,9.7,2,2.62,3,"no"
82,"yes","no",0,208.8,101,175.1,86,12.4,6,3.35,3,"no"
77,"yes","yes",44,103.2,117,203.5,101,11.9,2,3.21,0,"yes"
40,"no","yes",31,224.7,69,120.3,104,7.5,5,2.03,1,"yes"
22,"no","no",0,180,65,182.8,111,8.3,6,2.24,1,"no"
135,"yes","no",0,177.2,151,236.3,114,11.1,5,3,2,"no"
77,"no","no",0,62.4,89,209.6,64,5.7,6,1.54,5,"yes"
42,"no","no",0,251.1,81,184.6,90,12.7,5,3.43,0,"no"
66,"no","no",0,128.2,109,211,90,8.1,4,2.19,0,"no"
95,"no","yes",32,262.2,123,194.3,57,10.6,5,2.86,0,"no"
141,"no","yes",28,206.9,126,171.8,124,9.3,11,2.51,2,"no"
121,"no","no",0,179.4,70,116.3,113,11.2,5,3.02,1,"no"
70,"no","no",0,170.2,98,228.6,76,15,2,4.05,1,"no"
217,"no","no",0,176.4,115,306.6,107,9.3,3,2.51,4,"no"
90,"no","no",0,261.8,128,136.6,91,9.6,5,2.59,1,"no"
98,"no","yes",40,212.1,90,234,84,7.1,4,1.92,0,"no"
124,"no","no",0,282.8,108,256.4,96,10.3,1,2.78,3,"yes"
51,"no","no",0,181.5,108,187.2,119,10.3,2,2.78,1,"no"
173,"no","no",0,128.6,108,130.1,115,10.4,2,2.81,4,"yes"
122,"no","no",0,152,86,161.9,98,9.3,3,2.51,1,"no"
138,"yes","no",0,261.1,96,71.1,89,0,0,0,3,"yes"
117,"no","yes",23,198.1,86,180.5,92,6.8,6,1.84,1,"no"
143,"no","yes",24,186.6,69,234.9,138,11.6,5,3.13,1,"no"
117,"yes","no",0,287.4,118,153.2,86,10,3,2.7,1,"yes"
111,"no","yes",13,193.1,104,227.4,94,12.1,4,3.27,1,"no"
96,"yes","no",0,188.8,119,208.5,116,5.8,3,1.57,3,"no"
114,"no","no",0,189.8,101,172.7,121,10.6,5,2.86,1,"no"
101,"no","yes",17,193.9,71,196.3,97,12.6,7,3.4,0,"no"
109,"yes","no",0,159.6,136,142.1,53,7.3,4,1.97,4,"yes"
95,"no","yes",39,260.8,130,195.6,97,10.1,5,2.73,1,"no"
114,"no","no",0,155.3,75,207,133,12.6,5,3.4,2,"no"
101,"no","no",0,217.7,118,185.3,128,0,0,0,3,"no"
96,"no","no",0,160.2,117,228.5,68,9.3,5,2.51,2,"no"
101,"no","no",0,206.6,105,249.9,100,14.6,3,3.94,0,"no"
162,"no","yes",33,184.5,139,127.4,106,12.3,6,3.32,0,"no"
105,"no","yes",42,101.9,79,241.6,77,12.9,2,3.48,0,"no"
154,"no","no",0,154.5,122,178,105,12,2,3.24,3,"yes"
36,"no","no",0,175.1,144,243.7,146,9.9,3,2.67,1,"no"
169,"no","yes",22,149.1,103,265.4,92,11.4,7,3.08,2,"no"
87,"no","yes",48,178.8,91,262.4,119,9,8,2.43,1,"no"
126,"no","no",0,150.8,105,210,102,10.7,3,2.89,0,"no"
93,"no","no",0,199.7,109,241,109,7.1,2,1.92,0,"no"
75,"no","no",0,314.6,102,285.1,100,5.7,3,1.54,2,"yes"
63,"no","no",0,142.5,92,228.9,120,7.5,2,2.03,2,"no"
126,"no","no",0,211.6,70,153.5,60,7.8,1,2.11,1,"no"
102,"no","no",0,271.1,80,169.2,105,10.3,5,2.78,1,"no"
78,"no","no",0,241.3,113,129,131,11.8,6,3.19,3,"no"
35,"no","yes",27,241.7,87,288.9,68,9.4,4,2.54,1,"no"
148,"yes","no",0,218.9,88,203.3,99,11.1,4,3,0,"no"
87,"no","no",0,58,125,185.9,136,11.5,3,3.11,0,"no"
147,"yes","no",0,225.2,111,143.2,146,9.9,1,2.67,0,"yes"
52,"no","no",0,153.7,100,242.3,53,14.1,3,3.81,1,"no"
41,"no","yes",24,247.6,97,217.7,91,12.1,6,3.27,1,"no"
83,"no","no",0,196.7,117,199.9,62,10.1,11,2.73,3,"no"
50,"no","no",0,301.7,82,72.2,89,10.5,6,2.84,1,"no"
74,"no","yes",38,176,84,178.2,86,14.8,5,4,2,"no"
119,"no","no",0,134.9,70,188.5,105,11.3,6,3.05,1,"no"
100,"no","no",0,218.9,124,189.7,52,11,6,2.97,2,"no"
118,"no","no",0,189.3,119,270.9,104,10,1,2.7,2,"no"
130,"no","no",0,124.3,70,239.5,83,3.5,6,0.95,0,"no"
40,"no","no",0,81.7,123,212,64,11.3,3,3.05,6,"yes"
61,"no","yes",20,254.4,133,251.4,91,10.5,4,2.84,0,"no"
208,"no","no",0,326.5,67,181.7,102,10.7,6,2.89,2,"yes"
72,"no","no",0,138.9,111,179.5,91,10.8,3,2.92,1,"no"
86,"no","yes",25,126.4,97,233.6,97,12,2,3.24,1,"no"
107,"no","yes",22,281.1,83,239.4,128,11.2,9,3.02,1,"no"
93,"no","yes",21,134.2,105,186.6,90,11.8,2,3.19,4,"yes"
132,"no","no",0,195.1,100,224.5,117,6.7,2,1.81,0,"no"
67,"no","yes",40,104.9,65,217.4,128,9.6,9,2.59,1,"no"
19,"no","no",0,201.5,123,220.6,98,12.9,4,3.48,1,"no"
200,"no","no",0,128.2,87,177.6,123,11.2,2,3.02,1,"no"
71,"no","no",0,112.1,122,271.6,104,11.1,5,3,0,"no"
153,"no","yes",22,167.7,104,203.9,117,7.5,11,2.03,1,"no"
63,"no","yes",29,142.3,107,240.1,91,6.6,8,1.78,1,"no"
92,"yes","no",0,130.7,113,244.2,98,9.4,2,2.54,2,"yes"
171,"no","no",0,262.1,78,208.7,100,5.3,3,1.43,0,"no"
90,"no","no",0,207.6,82,149.7,68,11.2,6,3.02,1,"no"
100,"no","yes",26,153.7,115,213.5,104,15.9,5,4.29,1,"no"
36,"yes","no",0,245,119,165.7,87,7.8,7,2.11,1,"no"
93,"no","no",0,190.2,68,130,92,8.8,4,2.38,0,"no"
71,"no","yes",31,115.4,90,239.9,102,13.1,4,3.54,1,"no"
93,"yes","yes",36,169.7,109,246.5,95,9.8,3,2.65,0,"no"
94,"yes","yes",23,197.1,125,282.2,103,9.5,5,2.57,4,"no"
151,"yes","no",0,198.7,70,281.9,126,12.4,4,3.35,0,"no"
158,"no","no",0,172.4,114,235.3,104,0,0,0,2,"no"
171,"no","no",0,137.5,110,292.7,131,13.3,5,3.59,2,"no"
93,"no","no",0,152.1,141,262.4,111,12,7,3.24,1,"no"
55,"no","no",0,286.7,100,192.9,122,6.9,5,1.86,2,"no"
126,"no","no",0,161.4,110,249.2,78,5.1,2,1.38,0,"no"
58,"no","no",0,112.2,95,260.9,78,13.9,1,3.75,0,"yes"
155,"no","no",0,203.4,100,196,119,8.9,4,2.4,0,"yes"
70,"no","no",0,205.7,80,206.2,117,14.2,5,3.83,2,"no"
83,"no","no",0,227.9,78,211.7,100,12.1,5,3.27,1,"no"
121,"no","no",0,103.3,110,167.1,113,10.7,3,2.89,0,"no"
61,"no","no",0,197.3,67,210.5,116,9,6,2.43,1,"no"
95,"no","yes",24,129.4,120,214.4,83,12.6,4,3.4,4,"yes"
95,"no","no",0,198.9,101,145.3,55,11.4,4,3.08,1,"no"
129,"no","yes",37,205,94,185,81,11.7,8,3.16,1,"no"
137,"no","no",0,115,130,224,61,7.3,4,1.97,3,"no"
73,"no","yes",33,129.8,112,262.5,104,8.6,3,2.32,1,"no"
89,"no","yes",12,188,105,201.9,132,10.5,3,2.84,2,"no"
59,"no","no",0,231.4,93,257.2,124,11.4,5,3.08,2,"no"
116,"no","no",0,255.5,93,317.3,85,12.7,4,3.43,1,"yes"
112,"no","no",0,193.3,96,128.6,115,9.1,3,2.46,4,"no"
94,"no","no",0,245,112,262.9,105,9.7,6,2.62,1,"no"
45,"no","yes",26,91.7,104,63.3,103,7.7,5,2.08,1,"no"
93,"no","no",0,328.1,106,303.5,114,8.7,3,2.35,1,"yes"
79,"no","no",0,134.7,98,221.4,128,11.8,5,3.19,2,"no"
71,"no","no",0,217.7,114,113.5,87,8.5,10,2.3,4,"no"
81,"no","no",0,176.1,113,160.9,83,11.9,4,3.21,1,"no"
46,"no","no",0,210.2,92,200.1,116,13.1,7,3.54,1,"no"
138,"no","no",0,194.3,83,232.2,102,9,3,2.43,5,"no"
155,"yes","no",0,176.1,88,189.9,99,11.2,1,3.02,2,"yes"
106,"no","no",0,223,121,188.7,107,7.1,12,1.92,0,"no"
166,"no","no",0,136.1,116,131.4,108,11.3,4,3.05,0,"no"
222,"no","no",0,256.6,119,236,97,12.2,5,3.29,1,"yes"
63,"no","no",0,185.3,87,194.3,93,11.7,3,3.16,0,"no"
108,"no","no",0,138.6,122,231.6,92,9.8,3,2.65,1,"no"
122,"no","yes",29,195.4,83,168,95,8.4,6,2.27,3,"no"
151,"no","no",0,235.9,104,212.8,116,5.8,2,1.57,3,"no"
107,"no","yes",28,201.8,79,225.6,133,11.9,8,3.21,1,"no"
76,"no","no",0,169.5,77,219.4,92,10,3,2.7,0,"no"
174,"no","no",0,178,49,265.1,114,6.2,5,1.67,3,"no"
133,"no","yes",44,174,80,224.1,87,14.1,7,3.81,2,"yes"
80,"no","no",0,148.6,106,203.7,86,10,2,2.7,2,"no"
81,"no","no",0,125.1,103,186.2,78,11.8,1,3.19,1,"no"
41,"no","no",0,102.9,114,277.6,99,11,4,2.97,6,"yes"
57,"no","no",0,190.1,114,132.5,122,9.2,5,2.48,3,"no"
99,"no","yes",33,179.1,93,165.7,96,10.6,1,2.86,2,"no"
139,"no","no",0,221.3,140,192.5,89,11.3,6,3.05,1,"no"
102,"no","yes",27,109.8,66,236.9,101,10.3,7,2.78,0,"no"
158,"no","no",0,175.9,105,188.3,98,11,6,2.97,1,"no"
86,"no","no",0,148.2,71,166.4,155,6.2,3,1.67,2,"no"
89,"no","no",0,105.9,151,170.9,67,12.7,7,3.43,0,"no"
132,"no","no",0,121.5,88,195.7,120,10.7,4,2.89,1,"no"
157,"no","no",0,220.7,105,165.1,113,11.5,7,3.11,4,"no"
112,"no","yes",17,120,94,214,94,8.7,1,2.35,1,"no"
95,"no","yes",32,247,109,226.5,90,10.5,4,2.84,3,"no"
127,"no","no",0,220.2,108,172.7,113,11.7,3,3.16,2,"no"
158,"no","no",0,123.3,115,243.7,119,11.2,3,3.02,3,"no"
100,"no","yes",21,86.1,95,201.3,113,11.7,4,3.16,0,"no"
74,"no","no",0,155.7,116,257.4,97,8.1,4,2.19,0,"no"
137,"no","no",0,243.4,114,162.6,104,12.2,5,3.29,0,"no"
156,"no","no",0,174.3,95,258.2,105,12.9,5,3.48,3,"no"
115,"yes","no",0,147.7,105,153.5,102,12.7,5,3.43,0,"no"
25,"no","no",0,264.9,80,166.1,80,8.4,4,2.27,1,"yes"
102,"no","no",0,62.5,68,142.4,96,12.5,5,3.38,1,"no"
24,"no","yes",25,164.9,110,231.2,55,6.7,9,1.81,1,"no"
151,"no","no",0,118.9,128,194.8,61,13.2,10,3.56,2,"no"
126,"no","no",0,228.7,102,223.5,100,11.8,4,3.19,1,"no"
96,"no","yes",23,183.1,88,350.2,108,11.3,7,3.05,1,"no"
87,"no","no",0,189.5,113,221.7,93,13.4,3,3.62,1,"no"
158,"no","no",0,214.7,112,228.9,68,11.6,2,3.13,1,"no"
51,"no","yes",26,236.8,61,181.1,91,11.2,8,3.02,1,"no"
87,"no","no",0,168.2,92,169.5,99,12.9,3,3.48,1,"no"
162,"no","no",0,217.6,87,250.7,65,10.4,4,2.81,2,"yes"
70,"no","yes",23,205.5,95,196.1,76,9.7,4,2.62,1,"no"
148,"no","yes",33,241.7,84,160.6,80,11.3,3,3.05,1,"no"
7,"no","no",0,170.2,83,188,67,11.1,7,3,2,"no"
109,"no","no",0,180,100,139.4,105,7.8,8,2.11,3,"no"
70,"no","no",0,134.7,96,260.2,113,7.6,6,2.05,3,"no"
23,"no","no",0,321.6,107,141.1,158,11.3,3,3.05,2,"yes"
35,"no","no",0,158.6,67,229.8,80,6.9,5,1.86,2,"no"
49,"no","no",0,260.9,88,262.8,98,10.6,4,2.86,1,"no"
148,"no","no",0,208.4,120,310.7,105,11.2,4,3.02,1,"no"
176,"no","no",0,162.6,97,218.8,92,11.3,4,3.05,1,"no"
131,"no","yes",29,239.7,102,187.7,77,10.5,2,2.84,1,"no"
22,"no","no",0,181.8,108,206.6,96,9.3,3,2.51,2,"no"
161,"no","no",0,151.2,89,169.3,107,9.3,2,2.51,2,"no"
159,"no","no",0,168.5,80,199.1,126,8.1,2,2.19,1,"no"
116,"yes","yes",27,175.5,137,294.8,121,6.9,5,1.86,1,"no"
137,"no","no",0,208.8,120,221.6,130,11.1,5,3,0,"no"
87,"no","no",0,240,83,189.1,84,9.3,2,2.51,0,"yes"
39,"no","yes",38,201.8,66,173.7,112,9.5,3,2.57,0,"no"
124,"no","no",0,160.9,109,120.4,97,12.9,12,3.48,1,"no"
169,"yes","no",0,57.1,98,274.7,103,6.5,6,1.76,3,"no"
5,"no","no",0,199.2,106,214,85,13.3,3,3.59,3,"no"
135,"no","no",0,112.7,123,251.9,110,10.4,2,2.81,0,"no"
84,"no","yes",33,159.1,106,213.4,108,13,18,3.51,1,"no"
105,"no","yes",33,209.6,68,121,131,10.6,3,2.86,2,"no"
96,"no","no",0,178,140,242.2,91,12,6,3.24,2,"no"
149,"no","yes",28,180.7,92,265.5,53,12.6,3,3.4,3,"no"
216,"no","no",0,212.3,106,224.9,79,9.4,8,2.54,3,"no"
19,"no","no",0,146.8,99,146.1,68,9.3,2,2.51,0,"no"
158,"no","no",0,165.4,70,121.8,106,10.4,9,2.81,1,"no"
12,"no","no",0,204.6,98,182.1,95,9.8,7,2.65,2,"no"
121,"no","yes",35,193.8,62,218.8,95,5.9,4,1.59,0,"no"
48,"no","no",0,300.4,94,197.4,94,7.2,5,1.94,2,"no"
80,"no","no",0,113.2,86,237.3,145,9.5,5,2.57,1,"no"
65,"no","no",0,245.7,139,285.3,117,4.2,5,1.13,4,"yes"
51,"no","yes",28,276.7,121,246.2,88,8.3,3,2.24,0,"no"
65,"no","no",0,189.3,74,228.2,78,8.5,13,2.3,3,"no"
146,"no","no",0,115.6,77,218.4,72,10.7,6,2.89,1,"no"
15,"no","no",0,185.1,103,305.2,79,13.2,6,3.56,5,"no"
102,"no","no",0,103.1,70,141.1,92,11.2,5,3.02,1,"no"
149,"yes","no",0,176.2,87,249.5,92,5.7,4,1.54,0,"no"
136,"no","yes",31,143.1,88,227.8,120,11.4,5,3.08,2,"no"
127,"no","yes",27,157.6,107,75.1,77,8,4,2.16,1,"no"
126,"no","yes",42,247.8,96,201.8,73,10.6,3,2.86,2,"no"
79,"no","no",0,81.2,91,245.9,85,10.9,4,2.94,1,"no"
47,"yes","no",0,177.1,104,191.8,131,9.7,5,2.62,2,"no"
179,"no","no",0,219.2,92,244.7,104,6.1,5,1.65,0,"no"
172,"no","no",0,172.5,85,221.6,113,5.9,6,1.59,0,"no"
31,"no","no",0,229.1,120,243.6,102,11,4,2.97,3,"no"
86,"no","yes",29,225.4,79,281.1,112,12.9,3,3.48,1,"no"
127,"no","no",0,211.1,62,227.5,66,15.6,3,4.21,2,"no"
197,"no","no",0,233.9,96,182.9,109,9.5,3,2.57,0,"no"
107,"no","no",0,260.6,81,243.3,117,12.8,9,3.46,0,"yes"
86,"no","no",0,212.8,79,152.3,67,11.9,3,3.21,2,"no"
121,"no","yes",26,170.4,91,219.6,122,15.1,5,4.08,0,"no"
118,"no","no",0,224.6,94,269,105,12.5,8,3.38,2,"no"
58,"no","no",0,149.4,145,209.5,108,14.9,3,4.02,1,"no"
62,"yes","no",0,180.9,121,179.3,74,8.6,2,2.32,2,"yes"
95,"no","no",0,197,88,211.9,104,16.1,8,4.35,0,"no"
64,"no","no",0,261.9,113,145.2,74,13.8,4,3.73,0,"no"
61,"no","no",0,234.2,76,130.6,122,13.9,2,3.75,1,"no"
114,"no","no",0,169.6,85,179.3,124,7.4,8,2,1,"no"
75,"no","no",0,122.8,89,261.4,91,10.7,2,2.89,2,"no"
96,"no","yes",31,183.4,126,180.1,93,10.5,5,2.84,1,"no"
125,"no","no",0,229.3,103,189.3,95,12,8,3.24,1,"no"
112,"no","no",0,210.4,78,240,105,11.7,3,3.16,2,"no"
94,"no","no",0,142.3,50,205.6,79,5.5,3,1.49,1,"no"
170,"yes","no",0,259.9,68,134.4,121,8.4,3,2.27,3,"no"
63,"no","yes",26,214.2,80,156.4,109,10.3,2,2.78,2,"no"
169,"no","no",0,240.7,119,120.6,56,7.7,2,2.08,2,"no"
132,"no","yes",10,182.9,54,142.3,116,11.5,4,3.11,0,"no"
106,"no","no",0,149.7,114,227.9,87,9,2,2.43,2,"no"
28,"no","no",0,180.8,109,191.9,91,14.1,6,3.81,2,"no"
50,"no","yes",22,252.9,112,158.4,146,8.5,4,2.3,3,"no"
51,"no","no",0,41.2,106,220.1,115,12.4,3,3.35,0,"no"
64,"no","no",0,194.2,147,268.7,114,5.5,2,1.49,2,"no"
70,"no","no",0,230.3,110,247.1,105,13.2,4,3.56,1,"no"
166,"no","no",0,173.9,103,190.8,113,15.3,5,4.13,0,"no"
145,"no","no",0,175.8,89,226.6,69,12.4,4,3.35,1,"no"
42,"no","yes",16,240.8,80,271.7,138,9.4,4,2.54,1,"no"
109,"no","yes",29,111.2,90,224.7,128,9,6,2.43,6,"yes"
174,"no","no",0,222.3,102,297.2,97,5.7,2,1.54,0,"yes"
146,"no","no",0,109,69,228.3,80,12.6,2,3.4,1,"no"
62,"no","no",0,172.4,132,228.2,109,11,5,2.97,0,"no"
54,"no","yes",39,143.9,73,129.2,117,12.5,8,3.38,2,"no"
184,"yes","no",0,213.8,105,139.2,137,5,10,1.35,2,"no"
103,"no","no",0,189.8,110,191.3,103,12.2,4,3.29,0,"no"
143,"no","no",0,155.4,112,228.4,91,13.9,5,3.75,1,"no"
73,"no","no",0,157.1,109,181.5,91,10,8,2.7,0,"no"
125,"no","no",0,224.9,102,198.9,105,8,2,2.16,0,"no"
89,"no","no",0,89.7,80,145.7,120,9.5,4,2.57,2,"no"
100,"no","no",0,303,93,135.2,102,10.4,5,2.81,1,"yes"
86,"no","no",0,226.3,88,255.6,92,13,3,3.51,4,"no"
112,"no","no",0,261.4,108,130.9,90,11.6,2,3.13,1,"no"
105,"yes","no",0,273.9,119,255.3,90,10.9,7,2.94,1,"yes"
100,"no","yes",20,123.7,98,181,118,9.6,5,2.59,1,"no"
159,"no","yes",36,288.2,120,198.2,113,13.3,7,3.59,1,"no"
102,"no","no",0,214.8,60,166.7,90,10.9,2,2.94,1,"no"
177,"yes","no",0,248.7,118,191.9,87,11.3,2,3.05,1,"yes"
168,"no","no",0,160.6,110,120.2,104,9.1,4,2.46,1,"yes"
142,"no","no",0,187,133,242.2,127,7.4,5,2,2,"no"
112,"no","no",0,217.1,76,185.7,91,9.4,3,2.54,2,"no"
81,"no","no",0,175.5,67,270.2,98,10.2,3,2.75,1,"no"
81,"yes","yes",32,229,80,291.4,91,12.4,5,3.35,1,"no"
62,"no","no",0,189.5,122,180.6,106,10.8,5,2.92,2,"no"
80,"no","no",0,202.4,118,177.4,112,9.2,5,2.48,3,"no"
64,"yes","no",0,346.8,55,275.4,102,13.3,9,3.59,1,"yes"
82,"no","no",0,183.6,111,189.8,115,10.3,6,2.78,0,"no"
103,"no","yes",34,138.8,80,183.8,77,11.8,7,3.19,1,"no"
43,"no","no",0,212.5,88,194.6,52,8.6,6,2.32,0,"no"
90,"no","no",0,259.1,140,188.3,79,12.8,3,3.46,0,"no"
94,"no","no",0,137.5,118,150,131,13.4,2,3.62,0,"no"
102,"no","no",0,242.2,88,188.5,121,6.2,6,1.67,3,"no"
137,"no","no",0,144.5,119,175.1,76,6.1,4,1.65,5,"yes"
3,"no","no",0,182.9,87,233.1,89,12.1,3,3.27,4,"no"
73,"no","no",0,157.6,92,364.9,106,9.1,4,2.46,1,"no"
52,"no","yes",20,133.3,63,272.9,107,13.5,2,3.65,1,"no"
178,"no","no",0,275.4,150,147.1,126,13.6,3,3.67,1,"no"
22,"no","no",0,110.3,107,202.3,96,9.5,5,2.57,0,"no"
148,"no","no",0,230.6,92,183.2,79,6.2,4,1.67,2,"no"
149,"no","no",0,207.3,115,114.1,83,8.6,4,2.32,1,"no"
133,"yes","no",0,254.7,103,178.1,103,8,3,2.16,0,"yes"
72,"no","no",0,287.4,116,292.1,114,5,3,1.35,4,"yes"
43,"no","no",0,135.8,125,229.8,106,12.6,3,3.4,0,"no"
116,"no","no",0,205,90,272.6,96,7.5,4,2.03,2,"no"
74,"no","no",0,106.4,84,90.9,81,11.4,3,3.08,1,"no"
50,"no","yes",24,214.3,129,312.5,130,10.6,4,2.86,1,"no"
103,"no","no",0,206.5,125,220.6,95,12.2,4,3.29,3,"no"
95,"no","no",0,238.1,65,190,115,11.8,4,3.19,4,"no"
142,"yes","yes",23,102.2,103,176.3,100,9,4,2.43,1,"no"
36,"no","no",0,117.1,94,221.3,108,9,2,2.43,0,"no"
91,"no","yes",39,160.8,97,147.9,101,10.3,3,2.78,3,"no"
67,"no","no",0,201.4,101,202.5,119,7,3,1.89,0,"no"
73,"no","no",0,214.2,90,157.9,112,5.9,8,1.59,0,"no"
120,"no","no",0,121,139,141,90,5.3,8,1.43,1,"no"
65,"no","no",0,116.8,87,182.4,150,14.1,2,3.81,1,"no"
119,"no","yes",32,142.6,77,171,102,12,2,3.24,3,"no"
66,"no","no",0,154,133,151.9,100,9.5,3,2.57,4,"yes"
75,"yes","no",0,166.7,113,186.9,121,10.1,3,2.73,3,"no"
160,"no","no",0,85.8,77,178.5,92,9.2,4,2.48,3,"no"
84,"no","no",0,163.7,123,194,115,8,5,2.16,1,"no"
76,"no","yes",35,273.7,94,259,109,3.8,3,1.03,0,"no"
41,"yes","yes",31,278.1,86,241.5,77,11.3,4,3.05,0,"no"
161,"no","no",0,107.5,121,247.2,131,12.6,3,3.4,2,"no"
116,"no","no",0,245.9,73,158.7,89,8.9,5,2.4,3,"no"
49,"no","no",0,189.9,104,159.8,113,10.1,6,2.73,1,"no"
107,"yes","no",0,234.1,91,282.5,100,10,3,2.7,1,"no"
135,"no","yes",46,172.6,77,264.2,108,10.4,2,2.81,1,"no"
117,"no","no",0,214.4,94,148.7,102,9.9,1,2.67,2,"no"
69,"yes","no",0,176.8,89,232.6,151,13.1,5,3.54,1,"yes"
96,"no","yes",18,262.9,57,293.5,103,11.8,4,3.19,3,"no"
65,"no","no",0,96,95,172.9,114,6.7,3,1.81,3,"no"
46,"no","no",0,250.3,100,195,104,13.3,2,3.59,2,"yes"
118,"no","no",0,297.2,113,188.9,100,12.4,6,3.35,1,"yes"
109,"no","no",0,195.4,104,230.2,95,14,4,3.78,0,"no"
102,"no","no",0,69.7,85,128.5,104,11.1,2,3,2,"no"
141,"no","yes",33,168.4,127,220,78,11,4,2.97,2,"no"
110,"no","no",0,175.6,91,194.9,114,9.5,8,2.57,0,"no"
59,"no","no",0,166.3,95,123.2,108,10,3,2.7,2,"no"
59,"no","yes",26,205.4,68,214.7,130,9.4,2,2.54,5,"no"
158,"no","no",0,193.3,121,228.1,99,7.1,9,1.92,1,"no"
59,"no","no",0,128.7,85,207.3,98,10.5,4,2.84,3,"no"
38,"no","no",0,96.9,110,141,69,10.8,3,2.92,0,"no"
29,"no","no",0,196.8,81,132.6,98,12.7,7,3.43,2,"no"
110,"no","no",0,149.8,112,140,119,11.7,4,3.16,2,"no"
15,"yes","no",0,141.4,80,323.5,88,8.1,3,2.19,2,"no"
90,"no","no",0,145.6,103,294.5,83,10.5,4,2.84,0,"no"
